iShares Global Energy ETF,,,,,,,,,,,,,,,,,
Fund Holdings as of,14-Jul-20,,,,,,,,,,,,,,,,
Inception Date,12-Nov-01,,,,,,,,,,,,,,,,
Shares Outstanding,"43,050,000.00",,,,,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
XOM,EXXON MOBIL CORP,Energy,Equity,"111,667,959.39",13.37,"111,667,959.39","2,533,877.00",30231G102,US30231G1022,2326618,44.07,United States,New York Stock Exchange Inc.,USD,1,-,USD
CVX,CHEVRON CORP,Energy,Equity,"98,820,446.85",11.83,"98,820,446.85","1,118,511.00",166764100,US1667641005,2838555,88.35,United States,New York Stock Exchange Inc.,USD,1,-,USD
FP,TOTAL SA,Energy,Equity,"57,457,654.61",6.88,"57,457,654.61","1,480,696.00",-,FR0000120271,B15C557,38.8,France,Nyse Euronext - Euronext Paris,USD,0.88,-,EUR
BP.,BP PLC,Energy,Equity,"46,206,114.76",5.53,"46,206,114.76","12,111,439.00",S07980592,GB0007980591,798059,3.82,United Kingdom,London Stock Exchange,USD,0.8,-,GBP
RDSA,ROYAL DUTCH SHELL PLC,Energy,Equity,"40,293,154.60",4.83,"40,293,154.60","2,455,705.00",-,GB00B03MLX29,B03MLX2,16.41,United Kingdom,London Stock Exchange,USD,0.8,-,GBP
ENB,ENBRIDGE INC,Energy,Equity,"37,161,887.35",4.45,"37,161,887.35","1,212,637.00",29250N105,CA29250N1050,2466149,30.65,Canada,Toronto Stock Exchange,USD,1.36,-,CAD
RDSB,ROYAL DUTCH SHELL PLC CLASS B,Energy,Equity,"34,714,538.25",4.16,"34,714,538.25","2,220,852.00",-,GB00B03MM408,B03MM40,15.63,United Kingdom,London Stock Exchange,USD,0.8,-,GBP
COP,CONOCOPHILLIPS,Energy,Equity,"26,552,746.08",3.18,"26,552,746.08","642,768.00",20825C104,US20825C1045,2685717,41.31,United States,New York Stock Exchange Inc.,USD,1,-,USD
TRP,TC ENERGY CORP,Energy,Equity,"24,518,775.73",2.94,"24,518,775.73","562,169.00",87807B107,CA87807B1076,BJMY6G0,43.61,Canada,Toronto Stock Exchange,USD,1.36,-,CAD
KMI,KINDER MORGAN INC,Energy,Equity,"16,928,357.55",2.03,"16,928,357.55","1,163,461.00",49456B101,US49456B1017,B3NQ4P8,14.55,United States,New York Stock Exchange Inc.,USD,1,-,USD
EOG,EOG RESOURCES INC,Energy,Equity,"16,473,250.32",1.97,"16,473,250.32","348,419.00",26875P101,US26875P1012,2318024,47.28,United States,New York Stock Exchange Inc.,USD,1,-,USD
PSX,PHILLIPS,Energy,Equity,"16,193,617.76",1.94,"16,193,617.76","261,356.00",718546104,US7185461040,B78C4Y8,61.96,United States,New York Stock Exchange Inc.,USD,1,-,USD
SU,SUNCOR ENERGY INC,Energy,Equity,"15,496,491.74",1.86,"15,496,491.74","913,488.00",867224107,CA8672241079,B3NB1P2,16.96,Canada,Toronto Stock Exchange,USD,1.36,-,CAD
SLB,SCHLUMBERGER NV,Energy,Equity,"15,273,281.19",1.83,"15,273,281.19","830,521.00",806857108,AN8068571086,2779201,18.39,United States,New York Stock Exchange Inc.,USD,1,-,USD
ENI,ENI,Energy,Equity,"15,237,435.07",1.82,"15,237,435.07","1,522,090.00",S71450563,IT0003132476,7145056,10.01,Italy,Borsa Italiana,USD,0.88,-,EUR
MPC,MARATHON PETROLEUM CORP,Energy,Equity,"14,095,266.40",1.69,"14,095,266.40","389,372.00",56585A102,US56585A1025,B3K3L40,36.2,United States,New York Stock Exchange Inc.,USD,1,-,USD
WMB,WILLIAMS INC,Energy,Equity,"13,875,405.10",1.66,"13,875,405.10","726,461.00",969457100,US9694571004,2967181,19.1,United States,New York Stock Exchange Inc.,USD,1,-,USD
VLO,VALERO ENERGY CORP,Energy,Equity,"13,280,345.60",1.59,"13,280,345.60","244,124.00",91913Y100,US91913Y1001,2041364,54.4,United States,New York Stock Exchange Inc.,USD,1,-,USD
CNQ,CANADIAN NATURAL RESOURCES LTD,Energy,Equity,"12,434,127.82",1.49,"12,434,127.82","707,545.00",136385101,CA1363851017,2171573,17.57,Canada,Toronto Stock Exchange,USD,1.36,-,CAD
PBRA,PETROLEO BRASILEIRO ADR REPTG PRE,Energy,Equity,"11,543,858.04",1.38,"11,543,858.04","1,345,438.00",71654V101,US71654V1017,2683410,8.58,Brazil,New York Stock Exchange Inc.,USD,1,-,USD
883,CNOOC LTD,Energy,Equity,"10,833,479.13",1.3,"10,833,479.13","9,629,000.00",-,HK0883013259,B00G0S5,1.13,China,Hong Kong Exchanges And Clearing Ltd,USD,7.75,-,HKD
NESTE,NESTE,Energy,Equity,"10,813,799.50",1.3,"10,813,799.50","258,162.00",-,FI0009013296,B06YV46,41.89,Finland,Nasdaq Omx Helsinki Ltd.,USD,0.88,-,EUR
EQNR,EQUINOR,Energy,Equity,"9,896,565.79",1.19,"9,896,565.79","660,558.00",S71336085,NO0010096985,7133608,14.98,Norway,Oslo Bors Asa,USD,9.4,-,NOK
PXD,PIONEER NATURAL RESOURCE,Energy,Equity,"9,437,911.26",1.13,"9,437,911.26","98,661.00",723787107,US7237871071,2690830,95.66,United States,New York Stock Exchange Inc.,USD,1,-,USD
OXY,OCCIDENTAL PETROLEUM CORP,Energy,Equity,"8,998,943.40",1.08,"8,998,943.40","539,505.00",674599105,US6745991058,2655408,16.68,United States,New York Stock Exchange Inc.,USD,1,-,USD
