PORTFOLIO HOLDINGS INFORMATION,,,,
AS OF 7/15/2020,,,,
,,,,
Fund Ticker, Fund Name, Security Ticker, Security Sedol, Security Description, Coupon, Maturity Date, Shares/Contracts, Exposure Value (Notional + G/L), Market Value
"DIG","ProShares Ultra Oil & Gas","","","iShares U.S. Energy (IYE) SWAP Bank of America NA",,,41627.57,25277513.58,,
"DIG","ProShares Ultra Oil & Gas","","","DJ U.S. Oil & Gas Index SWAP UBS AG",,,74060,22920829.4,,
"DIG","ProShares Ultra Oil & Gas","","","DJ U.S. Oil & Gas Index SWAP Bank of America NA",,,65180.73,20172785.06,,
"DIG","ProShares Ultra Oil & Gas","","","DJ U.S. Oil & Gas Index SWAP Societe Generale",,,61732,19105436.68,,
"DIG","ProShares Ultra Oil & Gas","","","iShares U.S. Energy (IYE) SWAP Goldman Sachs International",,,25664,15583950.72,,
"DIG","ProShares Ultra Oil & Gas","","","DJ U.S. Oil & Gas Index SWAP Goldman Sachs International",,,50120,15511638.8,,
"DIG","ProShares Ultra Oil & Gas","","","DJ U.S. Oil & Gas Index SWAP Credit Suisse International",,,20240,6264077.6,,
"DIG","ProShares Ultra Oil & Gas","","","DJ U.S. Oil & Gas Index SWAP Citibank NA",,,18766,5807889.34,,
"DIG","ProShares Ultra Oil & Gas","","","DJ U.S. Oil & Gas Index SWAP Morgan Stanley & Co. International PLC",,,9697,3001124.53,,
"DIG","ProShares Ultra Oil & Gas","","","iShares U.S. Energy (IYE) SWAP Morgan Stanley & Co. International PLC",,,2319,1408166.37,,
"DIG","ProShares Ultra Oil & Gas","XOM","2326618","EXXON MOBIL CORP",,,511811,,22842124.93,
"DIG","ProShares Ultra Oil & Gas","CVX","2838555","CHEVRON CORP",,,225925,,20082473.25,
"DIG","ProShares Ultra Oil & Gas","COP","2685717","CONOCOPHILLIPS",,,129776,,5401277.12,
"DIG","ProShares Ultra Oil & Gas","KMI","B3NQ4P8","KINDER MORGAN INC",,,235352,,3520865.92,
"DIG","ProShares Ultra Oil & Gas","PSX","B78C4Y8","PHILLIPS 66",,,52843,,3459102.78,
"DIG","ProShares Ultra Oil & Gas","EOG","2318024","EOG RESOURCES INC",,,70434,,3342797.64,
"DIG","ProShares Ultra Oil & Gas","SLB","2779201","SCHLUMBERGER NV",,,167940,,3174066,
"DIG","ProShares Ultra Oil & Gas","MPC","B3K3L40","MARATHON PETROLEUM CORP",,,78688,,2956308.16,
"DIG","ProShares Ultra Oil & Gas","WMB","2967181","WILLIAMS COS INC",,,146810,,2947944.8,
"DIG","ProShares Ultra Oil & Gas","VLO","2041364","VALERO ENERGY CORP",,,49343,,2823899.89,
"DIG","ProShares Ultra Oil & Gas","PXD","2690830","PIONEER NATURAL RESOURCES CO",,,19950,,1926970.5,
"DIG","ProShares Ultra Oil & Gas","OXY","2655408","OCCIDENTAL PETROLEUM CORP",,,108912,,1871108.16,
