"Holdings and weightings as of 5:41 PM ET 07/14/2020",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"COG","Cabot Oil & Gas A","1.11%","17.85","+0.41","+2.35%","3.85 M","13.06 - 23.94",
"COP","ConocoPhillips","4.57%","41.62","+0.31","+0.75%","5.77 M","20.84 - 67.13",
"CVX","Chevron Corp","23.62%","88.89","+0.54","+0.61%","5.93 M","51.60 - 127.00",
"DVN","Devon Energy Corp","0.64%","10.74","+0.31","+2.97%","7.68 M","4.70 - 28.85",
"EOG","EOG Resources","4.40%","47.46","+0.18","+0.38%","4.19 M","27.00 - 91.36",
"FTI","TechnipFMC plc","0.50%","7.87","+0.44","+5.92%","5.58 M","4.49 - 28.57",
"HAL","Halliburton Co","1.75%","13.00","+0.52","+4.17%","18.19 M","4.25 - 25.47",
"HES","Hess Corp","1.98%","48.66","+1.18","+2.49%","3.03 M","26.06 - 74.11",
"KMI","Kinder Morgan Inc","4.52%","14.96","+0.41","+2.82%","8.53 M","9.42 - 22.58",
"MPC","Marathon Petroleum Corp.","3.76%","37.57","+1.37","+3.78%","4.79 M","15.26 - 69.65",
"MRO","Marathon Oil Corp","0.68%","5.69","+0.32","+5.96%","30.77 M","3.02 - 14.39",
"NOV","National Oilwell Varco Inc","0.72%","11.72","+0.19","+1.65%","5.03 M","8.00 - 25.81",
"OKE","ONEOK Inc","1.91%","28.83","+1.61","+5.91%","6.83 M","12.16 - 78.48",
"OXY","Occidental Petroleum","2.40%","17.18","+0.50","+3.00%","22.75 M","9.00 - 54.05",
"PSX","Phillips 66","4.12%","65.46","+3.50","+5.65%","3.61 M","40.04 - 119.92",
"PXD","Pioneer Natural Resources","2.52%","96.59","+0.93","+0.97%","1.83 M","48.62 - 159.01",
"SLB","Schlumberger Ltd","4.08%","18.90","+0.51","+2.77%","13.83 M","11.87 - 41.14",
"VLO","Valero Energy Corp","3.54%","57.23","+2.83","+5.20%","3.94 M","31.00 - 101.99",
"WMB","The Williams Companies Inc","3.70%","20.08","+0.98","+5.13%","9.25 M","8.41 - 28.85",
"XOM","Exxon Mobil Corp","23.08%","44.63","+0.56","+1.27%","17.27 M","30.11 - 77.74",
"CXO","Concho Resources Inc","1.59%","52.05","+1.33","+2.62%","2.12 M","33.13 - 104.88",
"HFC","HollyFrontier Corporation","0.65%","28.68","+1.45","+5.33%","1.65 M","18.48 - 58.88",
"FANG","Diamondback Energy Inc","0.99%","39.90","+0.62","+1.58%","3.66 M","14.55 - 111.24",
"BKR","Baker Hughes Company","1.63%","15.60","+0.04","+0.26%","5.62 M","9.12 - 25.99",
"NBL","Noble Energy Inc","0.74%","9.81","+0.21","+2.14%","10.47 M","2.73 - 27.31",
"APA","Apache Corp","0.81%","13.82","+0.31","+2.29%","10.76 M","3.80 - 33.77",
