====7:00 AM CT:====
SPXS (E) NYSEARCA
SPXU (E)
SPXL (L) NYSEARCA
SQQQ (E)
TQQQ (E)
UPRO (E)
VXX (E)

ARCA, NSDQ, NYSE, EDGA, EDGX

Time with Second:	  15.00	--	4/6/2020 7:00:15 AM
--Date--	-Time	Symbol	HighD	LowD	[VolOp]	SpdD	[PtChg	PtSpd	RocMa]	Price	 [Shr] 	20% 	 30% 	 45%
1200406	700	VXX	  42.80	  41.67	[8246]	   1.13	[   5.06	   2.51	   0.02]	  42.80	[467]	  42.57	  42.46	  42.29
1200406	700	TQQQ	  48.00	  47.09	[42901]	   0.91	[  12.37	   2.17	   0.13]	  47.23	[423]	  47.05	  46.96	  46.82
1200406	700	SPXL	  26.05	  25.56	[73373]	   0.49	[  12.30	   2.14	   0.08]	  25.74	[777]	  25.64	  25.59	  25.52
1200406	700	UPRO	  27.60	  27.09	[17528]	   0.51	[  11.68	   2.09	  -0.13]	  27.25	[734]	  27.35	  27.40	  27.48
1200406	700	URTY	  17.25	  16.40	[729]	   0.85	[  17.45	   6.03	   0.16]	  16.56	[1208]	  16.39	  16.31	  16.18
1200406	700	SQQQ	  19.11	  18.64	[66993]	   0.47	[  11.32	   2.19	  -0.18]	  19.04	[1050]	  19.13	  19.18	  19.25
1200406	700	SPXS	  15.70	  15.29	[87329]	   0.41	[  11.68	   2.32	  -0.14]	  15.58	[1284]	  15.66	  15.70	  15.76
1200406	700	SPXU	  23.97	  23.18	[39142]	   0.79	[  11.63	   2.96	  -0.12]	  23.55	[849]	  23.71	  23.79	  23.91
1200406	700	SRTY	  33.78	  32.29	[3756]	   1.49	[  14.18	   3.84	  -0.07]	  33.30	[601]	  33.60	  33.75	  33.97


Time with Second:	  15.00	--	4/7/2020 7:00:15 AM
--Date--	-Time	Symbol	HighD	LowD	[VolOp]	SpdD	[PtChg	PtSpd	RocMa]	Price	 [Shr] 	20% 	 30% 	 45%
1200407	700	VXX	  41.44	  40.50	[6347]	   0.94	[   0.98	   2.25	   0.18]	  41.38	[483]	  41.19	  41.10	  40.96
1200407	700	TQQQ	  56.13	  54.00	[82175]	   2.13	[   5.95	   4.10	  -0.14]	  55.01	[364]	  55.44	  55.65	  55.97
1200407	700	SPXL	  30.81	  29.44	[45779]	   1.37	[   6.34	   4.85	  -0.13]	  30.04	[666]	  30.31	  30.45	  30.66
1200407	700	UPRO	  32.67	  31.00	[29187]	   1.67	[   6.18	   5.58	  -0.16]	  31.78	[629]	  32.11	  32.28	  32.53
1200407	700	URTY	  19.95	  19.00	[1079]	   0.95	[  10.42	   5.29	   1.23]	  19.82	[1009]	  19.63	  19.54	  19.39
1200407	700	SQQQ	  16.12	  15.35	[280682]	   0.77	[   5.98	   4.61	   0.17]	  15.71	[1273]	  15.56	  15.48	  15.36
1200407	700	SPXS	  13.22	  12.49	[209451]	   0.73	[   6.20	   5.32	   0.18]	  12.87	[1554]	  12.72	  12.65	  12.54
1200407	700	SPXU	  19.83	  18.84	[78870]	   0.99	[   6.31	   4.77	   0.22]	  19.46	[1028]	  19.26	  19.16	  19.01
1200407	700	SRTY	  27.35	  26.33	[2609]	   1.02	[   7.52	   3.48	   0.40]	  27.07	[739]	  26.87	  26.76	  26.61


Time with Second:	  15.00	--	4/8/2020 7:00:15 AM
--Date--	-Time	Symbol	HighD	LowD	[VolOp]	SpdD	[PtChg	PtSpd	RocMa]	Price	 [Shr] 	20% 	 30% 	 45%
1200408	700	VXX	  44.45	  43.16	[3642]	   1.29	[   0.14	   2.98	  -0.49]	  43.24	[463]	  43.50	  43.63	  43.82
1200408	700	TQQQ	  52.30	  50.05	[28308]	   2.25	[   1.72	   4.39	   0.04]	  52.10	[384]	  51.65	  51.43	  51.09
1200408	700	SPXL	  28.42	  27.19	[32501]	   1.23	[   1.36	   4.41	   0.15]	  28.25	[708]	  28.00	  27.88	  27.70
1200408	700	UPRO	  30.00	  28.80	[11244]	   1.20	[   0.58	   4.07	   0.28]	  29.63	[675]	  29.39	  29.27	  29.09
1200408	700	URTY	  18.40	  18.07	[420]	   0.33	[   2.17	   1.84	   1.71]	  18.35	[1090]	  18.28	  18.25	  18.20
