-6.53	0.93	2/13/2014
-0.28	0.93	2/14/2014
1.38	0.94	2/18/2014
-1.9	0.93	2/19/2014
0.56	0.93	2/20/2014
2.73	0.96	2/21/2014
1.93	0.98	2/24/2014
0.54	0.98	2/25/2014
2.99	1.01	2/26/2014
0.54	1.02	2/27/2014
0	1.02	2/28/2014
-8.57	0.93	3/3/2014
9.87	1.02	3/4/2014
1.05	1.03	3/5/2014
1.57	1.05	3/6/2014
3.15	1.08	3/7/2014
-0.27	1.08	3/10/2014
2.39	1.1	3/11/2014
-3.77	1.06	3/12/2014
3.73	1.1	3/13/2014
-3.34	1.06	3/14/2014
5.68	1.13	3/17/2014
0.83	1.13	3/18/2014
0	1.13	3/19/2014
-2.17	1.11	3/20/2014
4.85	1.16	3/21/2014
3.63	1.21	3/24/2014
4.58	1.26	3/25/2014
4.55	1.32	3/26/2014
-1.18	1.3	3/27/2014
2.71	1.34	3/28/2014
6.57	1.43	3/31/2014
4.68	1.49	4/1/2014
4.17	1.56	4/2/2014
1.1	1.57	4/3/2014
5.66	1.66	4/4/2014
-5.23	1.57	4/7/2014
0.63	1.58	4/8/2014
3.38	1.64	4/9/2014
0.88	1.65	4/10/2014
-8.06	1.52	4/11/2014
7.68	1.64	4/14/2014
2.94	1.68	4/15/2014
8.08	1.82	4/16/2014
-3.11	1.76	4/17/2014
2.18	1.8	4/21/2014
2.74	1.85	4/22/2014
-0.3	1.85	4/23/2014
14.95	2.12	4/24/2014
-5.34	2.01	4/25/2014
4.37	2.1	4/28/2014
2.78	2.15	4/29/2014
-3.92	2.07	4/30/2014
1.5	2.1	5/1/2014
2.37	2.15	5/2/2014
-5.37	2.04	5/5/2014
-1.18	2.01	5/6/2014
2.44	2.06	5/7/2014
-3.08	2	5/8/2014
-0.62	1.98	5/9/2014
5.5	2.09	5/12/2014
1.17	2.12	5/13/2014
-2.33	2.07	5/14/2014
0	2.07	5/15/2014
0.91	2.09	5/16/2014
-2.67	2.03	5/19/2014
-0.58	2.02	5/20/2014
1.47	2.05	5/21/2014
0.86	2.07	5/22/2014
1.13	2.09	5/23/2014
4.14	2.18	5/27/2014
-0.27	2.17	5/28/2014
3.49	2.25	5/29/2014
0.53	2.26	5/30/2014
1.05	2.28	6/2/2014
-3.17	2.21	6/3/2014
-2.38	2.16	6/4/2014
1.05	2.18	6/5/2014
3.57	2.26	6/6/2014
0.75	2.28	6/9/2014
-0.75	2.26	6/10/2014
-3.01	2.19	6/11/2014
-1.5	2.16	6/12/2014
4.12	2.25	6/13/2014
-1.28	2.22	6/16/2014
-0.51	2.21	6/17/2014
1.02	2.23	6/18/2014
1.25	2.26	6/19/2014
0.5	2.27	6/20/2014
0	2.27	6/23/2014
0	2.27	6/24/2014
-2	2.22	6/25/2014
0.49	2.23	6/26/2014
-0.98	2.21	6/27/2014
-0.24	2.21	6/30/2014
3.13	2.28	7/1/2014
0.47	2.29	7/2/2014
3.01	2.36	7/3/2014
-1.36	2.32	7/7/2014
-1.61	2.29	7/8/2014
2.38	2.34	7/9/2014
-11.19	2.08	7/10/2014
2.12	2.12	7/11/2014
4.16	2.21	7/14/2014
1.13	2.24	7/15/2014
6.42	2.38	7/16/2014
-2.72	2.31	7/17/2014
4.95	2.43	7/18/2014
-2.03	2.38	7/21/2014
4.52	2.49	7/22/2014
2.88	2.56	7/23/2014
1.52	2.6	7/24/2014
-4.37	2.48	7/25/2014
0.88	2.51	7/28/2014
1.99	2.56	7/29/2014
4.89	2.68	7/30/2014
-7.46	2.48	7/31/2014
-1.87	2.44	8/1/2014
2.36	2.49	8/4/2014
-3.7	2.4	8/5/2014
-5.92	2.26	8/6/2014
3.8	2.34	8/7/2014
1.44	2.38	8/8/2014
3.29	2.46	8/11/2014
-1.15	2.43	8/12/2014
3.93	2.52	8/13/2014
0.9	2.55	8/14/2014
4.85	2.67	8/15/2014
4.79	2.8	8/18/2014
2.12	2.86	8/19/2014
-0.84	2.83	8/20/2014
0.42	2.84	8/21/2014
0.21	2.85	8/22/2014
4.55	2.98	8/25/2014
1.43	3.02	8/26/2014
0.41	3.03	8/27/2014
-3.06	2.94	8/28/2014
2.46	3.01	8/29/2014
2.23	3.08	9/2/2014
2.41	3.16	9/3/2014
2.25	3.23	9/4/2014
1.64	3.28	9/5/2014
-0.2	3.27	9/8/2014
0	3.27	9/9/2014
1.23	3.31	9/10/2014
-3.62	3.19	9/11/2014
-0.8	3.17	9/12/2014
0.61	3.19	9/15/2014
-3.16	3.09	9/16/2014
-0.21	3.08	9/17/2014
2.65	3.16	9/18/2014
4.2	3.29	9/19/2014
-2	3.23	9/22/2014
-3.5	3.12	9/23/2014
0.62	3.13	9/24/2014
-2.82	3.05	9/25/2014
2.79	3.13	9/26/2014
-9.15	2.84	9/29/2014
2.3	2.91	9/30/2014
-2.7	2.83	10/1/2014
-0.44	2.82	10/2/2014
5.47	2.97	10/3/2014
2.55	3.05	10/6/2014
-4.49	2.91	10/7/2014
0.67	2.93	10/8/2014
-1.47	2.89	10/9/2014
-5.33	2.73	10/10/2014
-1.68	2.69	10/13/2014
6.04	2.85	10/14/2014
-13.83	2.46	10/15/2014
-18.75	2	10/16/2014
11.76	2.23	10/17/2014
-0.75	2.21	10/20/2014
11.08	2.46	10/21/2014
2.9	2.53	10/22/2014
9.08	2.76	10/23/2014
1.3	2.8	10/24/2014
-1.27	2.76	10/27/2014
3.8	2.87	10/28/2014
-3.03	2.78	10/29/2014
-4.09	2.67	10/30/2014
14.83	3.06	10/31/2014
1.17	3.1	11/3/2014
-3.09	3	11/4/2014
5.47	3.16	11/5/2014
-0.39	3.15	11/6/2014
1.55	3.2	11/7/2014
0.58	3.22	11/10/2014
0	3.22	11/11/2014
-3.43	3.11	11/12/2014
1.51	3.16	11/13/2014
0	3.16	11/14/2014
-2.04	3.09	11/17/2014
1.12	3.13	11/18/2014
-0.91	3.1	11/19/2014
-3.89	2.98	11/20/2014
8.04	3.22	11/21/2014
2.36	3.29	11/24/2014
1.24	3.33	11/25/2014
0.88	3.36	11/26/2014
2.78	3.46	11/28/2014
-1.54	3.4	12/1/2014
1.06	3.44	12/2/2014
1.22	3.48	12/3/2014
-0.7	3.46	12/4/2014
1.74	3.52	12/5/2014
-2.44	3.43	12/8/2014
-10.52	3.07	12/9/2014
-1.94	3.01	12/10/2014
2.59	3.09	12/11/2014
-8.59	2.82	12/12/2014
4.53	2.95	12/15/2014
-6.03	2.77	12/16/2014
0.61	2.79	12/17/2014
12.82	3.15	12/18/2014
0.91	3.18	12/19/2014
-0.72	3.15	12/22/2014
3.37	3.26	12/23/2014
1.26	3.3	12/24/2014
2.15	3.37	12/26/2014
-0.88	3.34	12/29/2014
-2.81	3.25	12/30/2014
1.43	3.3	12/31/2014
4.62	3.45	1/2/2015
-4.65	3.29	1/5/2015
1.56	3.34	1/6/2015
5.89	3.54	1/7/2015
8.02	3.82	1/8/2015
2.77	3.93	1/9/2015
1.89	4	1/12/2015
8.17	4.33	1/13/2015
-9.17	3.93	1/14/2015
3.76	4.08	1/15/2015
-1.24	4.03	1/16/2015
5.38	4.24	1/20/2015
-2.73	4.13	1/21/2015
3.45	4.27	1/22/2015
0	4.27	1/23/2015
-0.72	4.24	1/26/2015
-13.95	3.65	1/27/2015
13.93	4.16	1/28/2015
-1	4.12	1/29/2015
-0.78	4.08	1/30/2015
1.99	4.16	2/2/2015
2.71	4.28	2/3/2015
-4.14	4.1	2/4/2015
2.08	4.19	2/5/2015
1.47	4.25	2/6/2015
-3.37	4.1	2/9/2015
5.3	4.32	2/10/2015
1.27	4.38	2/11/2015
5.72	4.63	2/12/2015
2.42	4.74	2/13/2015
0.17	4.75	2/17/2015
-1.01	4.7	2/18/2015
-0.67	4.67	2/19/2015
-0.49	4.64	2/20/2015
-0.32	4.63	2/23/2015
-1.13	4.58	2/24/2015
-1.45	4.51	2/25/2015
0.97	4.55	2/26/2015
-0.16	4.55	2/27/2015
1.78	4.63	3/2/2015
-2.68	4.5	3/3/2015
-2.56	4.39	3/4/2015
2.26	4.49	3/5/2015
-0.8	4.45	3/6/2015
2.33	4.56	3/9/2015
-6.28	4.27	3/10/2015
0.7	4.3	3/11/2015
-0.71	4.27	3/12/2015
-0.87	4.23	3/13/2015
3.54	4.38	3/16/2015
-2.72	4.26	3/17/2015
-2.2	4.17	3/18/2015
0.82	4.2	3/19/2015
7.37	4.51	3/20/2015
-0.8	4.48	3/23/2015
-0.16	4.47	3/24/2015
1.47	4.53	3/25/2015
-7.37	4.2	3/26/2015
-0.18	4.19	3/27/2015
5.61	4.43	3/30/2015
-2.71	4.31	3/31/2015
0	4.31	4/1/2015
0.71	4.34	4/2/2015
-5.67	4.09	4/6/2015
-0.35	4.08	4/7/2015
0.17	4.09	4/8/2015
-0.17	4.08	4/9/2015
0.17	4.09	4/10/2015
0.83	4.12	4/13/2015
-0.5	4.1	4/14/2015
2.85	4.22	4/15/2015
-2.14	4.13	4/16/2015
-8.6	3.77	4/17/2015
4.51	3.94	4/20/2015
5.31	4.15	4/21/2015
2.29	4.25	4/22/2015
-3.06	4.12	4/23/2015
9.25	4.5	4/24/2015
3.53	4.65	4/27/2015
0.62	4.68	4/28/2015
-4.97	4.45	4/29/2015
-4.91	4.23	4/30/2015
3.49	4.38	5/1/2015
2.56	4.49	5/4/2015
-3.5	4.33	5/5/2015
1.51	4.4	5/6/2015
-0.34	4.38	5/7/2015
9.4	4.8	5/8/2015
0.49	4.82	5/11/2015
-5.24	4.57	5/12/2015
3.98	4.75	5/13/2015
7.59	5.11	5/14/2015
2.53	5.24	5/15/2015
-1.42	5.16	5/18/2015
1.09	5.22	5/19/2015
0.94	5.27	5/20/2015
-1.56	5.19	5/21/2015
-0.92	5.14	5/22/2015
-2.47	5.01	5/26/2015
2.88	5.16	5/27/2015
-1.83	5.06	5/28/2015
-0.77	5.02	5/29/2015
4.69	5.26	6/1/2015
-3.1	5.1	6/2/2015
4.22	5.31	6/3/2015
-4.81	5.06	6/4/2015
-1.27	4.99	6/5/2015
-0.32	4.98	6/8/2015
-2.14	4.87	6/9/2015
2.98	5.01	6/10/2015
3.34	5.18	6/11/2015
-4.75	4.94	6/12/2015
-6.98	4.59	6/15/2015
-1.65	4.52	6/16/2015
1.62	4.59	6/17/2015
2.73	4.71	6/18/2015
1.08	4.77	6/19/2015
6.73	5.09	6/22/2015
1.07	5.14	6/23/2015
-1.22	5.08	6/24/2015
3.26	5.24	6/25/2015
-0.31	5.23	6/26/2015
-10.5	4.68	6/29/2015
6.16	4.97	6/30/2015
8.47	5.39	7/1/2015
2.48	5.52	7/2/2015
-5.79	5.2	7/6/2015
1.17	5.26	7/7/2015
-6.29	4.93	7/8/2015
12.05	5.52	7/9/2015
11.36	6.15	7/10/2015
7.35	6.61	7/13/2015
1.43	6.7	7/14/2015
1.56	6.8	7/15/2015
7.62	7.32	7/16/2015
7.46	7.87	7/17/2015
2.43	8.06	7/20/2015
0.42	8.09	7/21/2015
-13.6	6.99	7/22/2015
0.73	7.04	7/23/2015
4.89	7.39	7/24/2015
-5.19	7.01	7/27/2015
4.07	7.29	7/28/2015
1.98	7.44	7/29/2015
-2.56	7.25	7/30/2015
2.83	7.45	7/31/2015
0.3	7.47	8/3/2015
-0.9	7.4	8/4/2015
5.16	7.79	8/5/2015
1.04	7.87	8/6/2015
-2.49	7.67	8/7/2015
5.94	8.13	8/10/2015
-4.54	7.76	8/11/2015
-6.29	7.27	8/12/2015
0.93	7.34	8/13/2015
-1.57	7.22	8/14/2015
-2.33	7.06	8/17/2015
-1.06	6.98	8/18/2015
-3.08	6.77	8/19/2015
-8.34	6.2	8/20/2015
-12.53	5.42	8/21/2015
-55.19	2.43	8/24/2015
32.05	3.21	8/25/2015
27.13	4.08	8/26/2015
13.15	4.62	8/27/2015
-4.2	4.42	8/28/2015
-5.11	4.2	8/31/2015
-22.74	3.24	9/1/2015
14.36	3.71	9/2/2015
3.86	3.85	9/3/2015
-12.34	3.38	9/4/2015
17.26	3.96	9/8/2015
10.67	4.38	9/9/2015
-0.78	4.35	9/10/2015
-3.57	4.19	9/11/2015
3.7	4.35	9/14/2015
2.43	4.45	9/15/2015
0.72	4.48	9/16/2015
-0.53	4.46	9/17/2015
-13.61	3.85	9/18/2015
4.8	4.04	9/21/2015
-13.73	3.48	9/22/2015
2.3	3.56	9/23/2015
-8.42	3.26	9/24/2015
9.47	3.57	9/25/2015
-3.97	3.43	9/28/2015
2.17	3.51	9/29/2015
12.32	3.94	9/30/2015
1.44	3.99	10/1/2015
-12.22	3.51	10/2/2015
6.77	3.74	10/5/2015
-1.85	3.67	10/6/2015
5.83	3.89	10/7/2015
-3.51	3.75	10/8/2015
0.55	3.77	10/9/2015
2.16	3.85	10/12/2015
-5.01	3.66	10/13/2015
0	3.66	10/14/2015
3.3	3.78	10/15/2015
1.92	3.85	10/16/2015
-1.55	3.79	10/19/2015
-1.53	3.74	10/20/2015
4.48	3.9	10/21/2015
7.54	4.2	10/22/2015
24.15	5.21	10/23/2015
-0.31	5.2	10/26/2015
-2.29	5.08	10/27/2015
1.51	5.15	10/28/2015
-4.14	4.94	10/29/2015
0.45	4.96	10/30/2015
2.26	5.08	11/2/2015
-1.75	4.99	11/3/2015
2.88	5.13	11/4/2015
0.86	5.17	11/5/2015
-1.6	5.09	11/6/2015
-3.33	4.92	11/9/2015
-4.64	4.69	11/10/2015
2.72	4.82	11/11/2015
-3.64	4.65	11/12/2015
-3.28	4.49	11/13/2015
-1.16	4.44	11/16/2015
1.75	4.52	11/17/2015
3.49	4.68	11/18/2015
0.3	4.69	11/19/2015
4.49	4.9	11/20/2015
0.59	4.93	11/23/2015
-5.77	4.65	11/24/2015
1.19	4.7	11/25/2015
2.07	4.8	11/27/2015
2.8	4.93	11/30/2015
3.57	5.11	12/1/2015
0.72	5.15	12/2/2015
2.35	5.27	12/3/2015
2.63	5.41	12/4/2015
0.72	5.44	12/7/2015
-9.53	4.93	12/8/2015
-4.25	4.72	12/9/2015
2	4.81	12/10/2015
-10.31	4.31	12/11/2015
1.3	4.37	12/14/2015
7.64	4.7	12/15/2015
6.58	5.01	12/16/2015
4.05	5.22	12/17/2015
-3.44	5.04	12/18/2015
7.79	5.43	12/21/2015
4.66	5.68	12/22/2015
4.89	5.96	12/23/2015
-0.15	5.95	12/24/2015
-2.32	5.81	12/28/2015
5.72	6.15	12/29/2015
-0.59	6.11	12/30/2015
-3.19	5.92	12/31/2015
-19.56	4.76	1/4/2016
3.7	4.93	1/5/2016
-14.92	4.2	1/6/2016
-19.16	3.39	1/7/2016
6.34	3.61	1/8/2016
6.5	3.84	1/11/2016
8.2	4.16	1/12/2016
3.39	4.3	1/13/2016
3.58	4.45	1/14/2016
-30.32	3.1	1/15/2016
12.01	3.48	1/19/2016
-13.7	3	1/20/2016
3.72	3.11	1/21/2016
17.69	3.66	1/22/2016
-2.61	3.57	1/25/2016
3.58	3.69	1/26/2016
-5.32	3.5	1/27/2016
14.39	4	1/28/2016
0.43	4.02	1/29/2016
-4.6	3.83	2/1/2016
-3.77	3.69	2/2/2016
5.51	3.89	2/3/2016
-2.58	3.79	2/4/2016
-3.02	3.68	2/5/2016
-16.59	3.07	2/8/2016
-11.6	2.71	2/9/2016
11.21	3.02	2/10/2016
-11.57	2.67	2/11/2016
10.35	2.94	2/12/2016
13.54	3.34	2/16/2016
7.49	3.59	2/17/2016
2.97	3.7	2/18/2016
-3.95	3.55	2/19/2016
8.27	3.85	2/22/2016
-5.4	3.64	2/23/2016
-10.04	3.27	2/24/2016
2.12	3.34	2/25/2016
6.6	3.56	2/26/2016
-0.21	3.56	2/29/2016
8.07	3.84	3/1/2016
-1.16	3.8	3/2/2016
-0.58	3.78	3/3/2016
1.37	3.83	3/4/2016
-4.48	3.66	3/7/2016
-6.35	3.42	3/8/2016
3.66	3.55	3/9/2016
4.39	3.7	3/10/2016
9.42	4.05	3/11/2016
-3.24	3.92	3/14/2016
-2.85	3.81	3/15/2016
-2.47	3.72	3/16/2016
-2.59	3.62	3/17/2016
2.22	3.7	3/18/2016
-1.66	3.64	3/21/2016
-4.92	3.46	3/22/2016
-1.45	3.41	3/23/2016
-4.45	3.26	3/24/2016
2.78	3.35	3/28/2016
-1.67	3.29	3/29/2016
5.68	3.48	3/30/2016
-0.52	3.46	3/31/2016
-4.92	3.29	4/1/2016
-0.17	3.29	4/4/2016
-6.55	3.07	4/5/2016
1.06	3.1	4/6/2016
-5.07	2.95	4/7/2016
5.83	3.12	4/8/2016
4.07	3.25	4/11/2016
0.54	3.26	4/12/2016
6.81	3.48	4/13/2016
0	3.48	4/14/2016
-0.67	3.46	4/15/2016
-2.71	3.37	4/18/2016
2.84	3.46	4/19/2016
-0.34	3.45	4/20/2016
-0.34	3.44	4/21/2016
-11.36	3.05	4/22/2016
-3.37	2.95	4/25/2016
1.6	2.99	4/26/2016
-8.83	2.73	4/27/2016
1.11	2.76	4/28/2016
-0.96	2.73	4/29/2016
1.75	2.78	5/2/2016
-6.44	2.6	5/3/2016
-5.45	2.46	5/4/2016
2.98	2.53	5/5/2016
-4.57	2.42	5/6/2016
0.39	2.43	5/9/2016
3.5	2.51	5/10/2016
